time_s,ecg_sample
0.000000,0
0.002000,314
0.004000,628
0.006000,942
0.008000,1257
0.010000,1571
0.012000,1885
0.014000,2198
0.016000,2512
0.018000,2826
0.020000,3140
0.022000,3453
0.024000,3766
0.026000,4080
0.028000,4393
0.030000,4705
0.032000,5018
0.034000,5331
0.036000,5643
0.038000,5955
0.040000,6267
0.042000,6578
0.044000,6890
0.046000,7201
0.048000,7511
0.050000,7822
0.052000,8132
0.054000,8442
0.056000,8752
0.058000,9061
0.060000,9370
0.062000,9679
0.064000,9988
0.066000,10297
0.068000,10606
0.070000,10915
0.072000,11224
0.074000,11534
0.076000,11846
0.078000,12159
0.080000,12475
0.082000,12794
0.084000,13117
0.086000,13447
0.088000,13785
0.090000,14134
0.092000,14496
0.094000,14875
0.096000,15276
0.098000,15705
0.100000,16168
0.102000,16673
0.104000,17229
0.106000,17846
0.108000,18538
0.110000,19318
0.112000,20201
0.114000,21206
0.116000,22350
0.118000,23655
0.120000,25142
0.122000,26834
0.124000,28753
0.126000,30922
0.128000,33363
0.130000,36098
0.132000,39143
0.134000,42513
0.136000,46219
0.138000,50266
0.140000,54653
0.142000,59372
0.144000,64406
0.146000,69731
0.148000,75313
0.150000,81110
0.152000,87069
0.154000,93131
0.156000,99229
0.158000,105287
0.160000,111226
0.162000,116963
0.164000,122414
0.166000,127494
0.168000,132124
0.170000,136226
0.172000,139733
0.174000,142584
0.176000,144733
0.178000,146142
0.180000,146791
0.182000,146673
0.184000,145794
0.186000,144176
0.188000,141854
0.190000,138878
0.192000,135306
0.194000,131207
0.196000,126656
0.198000,121735
0.200000,116527
0.202000,111117
0.204000,105589
0.206000,100020
0.208000,94487
0.210000,89056
0.212000,83787
0.214000,78733
0.216000,73935
0.218000,69428
0.220000,65236
0.222000,61375
0.224000,57853
0.226000,54672
0.228000,51826
0.230000,49306
0.232000,47095
0.234000,45177
0.236000,43531
0.238000,42134
0.240000,40964
0.242000,39997
0.244000,39213
0.246000,38587
0.248000,38102
0.250000,37736
0.252000,37474
0.254000,37299
0.256000,37197
0.258000,37156
0.260000,37166
0.262000,37216
0.264000,37300
0.266000,37410
0.268000,37542
0.270000,37690
0.272000,37850
0.274000,38020
0.276000,38197
0.278000,38380
0.280000,38566
0.282000,38754
0.284000,38944
0.286000,39135
0.288000,39325
0.290000,39515
0.292000,39705
0.294000,39893
0.296000,40081
0.298000,40267
0.300000,40452
0.302000,40636
0.304000,40818
0.306000,40998
0.308000,41177
0.310000,41354
0.312000,41530
0.314000,41704
0.316000,41876
0.318000,42047
0.320000,42216
0.322000,42383
0.324000,42547
0.326000,42708
0.328000,42864
0.330000,43012
0.332000,43146
0.334000,43257
0.336000,43329
0.338000,43335
0.340000,43236
0.342000,42969
0.344000,42448
0.346000,41553
0.348000,40124
0.350000,37964
0.352000,34845
0.354000,30517
0.356000,24745
0.358000,17343
0.360000,8240
0.362000,-2447
0.364000,-14324
0.366000,-26616
0.368000,-38060
0.370000,-46804
0.372000,-50336
0.374000,-45467
0.376000,-28424
0.378000,4896
0.380000,58468
0.382000,135452
0.384000,237338
0.386000,363038
0.388000,508154
0.390000,664667
0.392000,821270
0.394000,964467
0.396000,1080334
0.398000,1156659
0.400000,1184989
0.402000,1162121
0.404000,1090625
0.406000,978308
0.408000,836727
0.410000,679163
0.412000,518544
0.414000,365756
0.416000,228637
0.418000,111715
0.420000,16572
0.422000,-57423
0.424000,-112262
0.426000,-150541
0.428000,-174925
0.430000,-187839
0.432000,-191372
0.434000,-187294
0.436000,-177143
0.438000,-162307
0.440000,-144076
0.442000,-123659
0.444000,-102177
0.446000,-80626
0.448000,-59847
0.450000,-40498
0.452000,-23041
0.454000,-7747
0.456000,5287
0.458000,16104
0.460000,24860
0.462000,31778
0.464000,37119
0.466000,41155
0.468000,44146
0.470000,46324
0.472000,47889
0.474000,49007
0.476000,49808
0.478000,50390
0.480000,50830
0.482000,51179
0.484000,51476
0.486000,51747
0.488000,52009
0.490000,52275
0.492000,52554
0.494000,52850
0.496000,53169
0.498000,53513
0.500000,53887
0.502000,54293
0.504000,54734
0.506000,55213
0.508000,55733
0.510000,56297
0.512000,56909
0.514000,57571
0.516000,58288
0.518000,59063
0.520000,59899
0.522000,60802
0.524000,61775
0.526000,62822
0.528000,63947
0.530000,65156
0.532000,66453
0.534000,67842
0.536000,69328
0.538000,70916
0.540000,72611
0.542000,74417
0.544000,76340
0.546000,78385
0.548000,80555
0.550000,82856
0.552000,85293
0.554000,87870
0.556000,90591
0.558000,93460
0.560000,96482
0.562000,99659
0.564000,102996
0.566000,106495
0.568000,110159
0.570000,113991
0.572000,117991
0.574000,122162
0.576000,126504
0.578000,131017
0.580000,135702
0.582000,140558
0.584000,145582
0.586000,150773
0.588000,156128
0.590000,161643
0.592000,167314
0.594000,173136
0.596000,179102
0.598000,185207
0.600000,191442
0.602000,197800
0.604000,204271
0.606000,210845
0.608000,217513
0.610000,224262
0.612000,231079
0.614000,237954
0.616000,244870
0.618000,251816
0.620000,258775
0.622000,265732
0.624000,272671
0.626000,279576
0.628000,286429
0.630000,293215
0.632000,299914
0.634000,306510
0.636000,312985
0.638000,319321
0.640000,325499
0.642000,331503
0.644000,337315
0.646000,342917
0.648000,348292
0.650000,353424
0.652000,358297
0.654000,362896
0.656000,367205
0.658000,371211
0.660000,374901
0.662000,378262
0.664000,381283
0.666000,383954
0.668000,386266
0.670000,388210
0.672000,389779
0.674000,390968
0.676000,391773
0.678000,392190
0.680000,392216
0.682000,391853
0.684000,391099
0.686000,389958
0.688000,388432
0.690000,386527
0.692000,384246
0.694000,381598
0.696000,378591
0.698000,375234
0.700000,371537
0.702000,367511
0.704000,363169
0.706000,358524
0.708000,353590
0.710000,348382
0.712000,342914
0.714000,337204
0.716000,331268
0.718000,325122
0.720000,318784
0.722000,312271
0.724000,305602
0.726000,298794
0.728000,291865
0.730000,284832
0.732000,277715
0.734000,270529
0.736000,263292
0.738000,256022
0.740000,248734
0.742000,241445
0.744000,234169
0.746000,226923
0.748000,219719
0.750000,212573
0.752000,205496
0.754000,198501
0.756000,191599
0.758000,184801
0.760000,178117
0.762000,171555
0.764000,165126
0.766000,158834
0.768000,152688
0.770000,146694
0.772000,140856
0.774000,135179
0.776000,129666
0.778000,124320
0.780000,119144
0.782000,114140
0.784000,109307
0.786000,104646
0.788000,100158
0.790000,95840
0.792000,91692
0.794000,87713
0.796000,83899
0.798000,80248
0.800000,76757
0.802000,73422
0.804000,70241
0.806000,67209
0.808000,64322
0.810000,61576
0.812000,58966
0.814000,56488
0.816000,54137
0.818000,51908
0.820000,49796
0.822000,47797
0.824000,45906
0.826000,44117
0.828000,42427
0.830000,40830
0.832000,39322
0.834000,24909
0.836000,24636
0.838000,24363
0.840000,24088
0.842000,23812
0.844000,23535
0.846000,23258
0.848000,22979
0.850000,22700
0.852000,22419
0.854000,22138
0.856000,21856
0.858000,21573
0.860000,21289
0.862000,21004
0.864000,20719
0.866000,20432
0.868000,20145
0.870000,19857
0.872000,19569
0.874000,19279
0.876000,18989
0.878000,18698
0.880000,18406
0.882000,18114
0.884000,17821
0.886000,17527
0.888000,17233
0.890000,16938
0.892000,16642
0.894000,16346
0.896000,16049
0.898000,15752
0.900000,15455
0.902000,15158
0.904000,14861
0.906000,14564
0.908000,14268
0.910000,13973
0.912000,13680
0.914000,13390
0.916000,13103
0.918000,12822
0.920000,12547
0.922000,12282
0.924000,12027
0.926000,11788
0.928000,11568
0.930000,11371
0.932000,11204
0.934000,11074
0.936000,10989
0.938000,10958
0.940000,10994
0.942000,11108
0.944000,11316
0.946000,11633
0.948000,12078
0.950000,12670
0.952000,13430
0.954000,14379
0.956000,15542
0.958000,16939
0.960000,18595
0.962000,20531
0.964000,22767
0.966000,25319
0.968000,28201
0.970000,31422
0.972000,34984
0.974000,38886
0.976000,43115
0.978000,47654
0.980000,52473
0.982000,57537
0.984000,62800
0.986000,68208
0.988000,73698
0.990000,79199
0.992000,84636
0.994000,89928
0.996000,94990
0.998000,99739
1.000000,104091
1.002000,107968
1.004000,111294
1.006000,114004
1.008000,116044
1.010000,117368
1.012000,117945
1.014000,117759
1.016000,116807
1.018000,115102
1.020000,112669
1.022000,109549
1.024000,105793
1.026000,101465
1.028000,96636
1.030000,91383
1.032000,85789
1.034000,79938
1.036000,73914
1.038000,67799
1.040000,61672
1.042000,55604
1.044000,49661
1.046000,43900
1.048000,38371
1.050000,33111
1.052000,28153
1.054000,23518
1.056000,19219
1.058000,15262
1.060000,11647
1.062000,8365
1.064000,5406
1.066000,2753
1.068000,387
1.070000,-1713
1.072000,-3568
