experiment,channel,window_index,sampling_rate_hz,raw_bytes,compressed_bytes,reduction_percent,reconstruction_exact,rice_parameters,selected_mode
Experiment A (Native 1000Hz),Lead I (LA-RA),0,1000.0,3000,781,73.97,True,"4,4,3,4,4,3,3,4,4,3,4,5,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,3","0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1"
Experiment A (Native 1000Hz),Lead I (LA-RA),1,1000.0,3000,789,73.7,True,"4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,3,6,0","1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1"
Experiment A (Native 1000Hz),Lead I (LA-RA),2,1000.0,3000,781,73.97,True,"5,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,3,4,3,4,5,5,4,4,4,4,4,4","1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1"
Experiment A (Native 1000Hz),Lead I (LA-RA),3,1000.0,3000,787,73.77,True,"4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,5,5,4,4,4,4,4,4,4,4,3,3,3,4","0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0"
Experiment A (Native 1000Hz),Lead I (LA-RA),4,1000.0,3000,766,74.47,True,"4,3,3,3,3,3,3,3,3,4,3,3,5,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3","1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1"
Experiment A (Native 1000Hz),Lead I (LA-RA),5,1000.0,3000,776,74.13,True,"4,4,4,4,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,3,4,3,3","1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0"
Experiment A (Native 1000Hz),Lead I (LA-RA),6,1000.0,3000,796,73.47,True,"6,6,4,3,4,3,3,4,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,5,4,3,4,4,2","0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1"
Experiment A (Native 1000Hz),Lead I (LA-RA),7,1000.0,3000,790,73.67,True,"4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,5,5,4,4,4,4,4,4,4,4,3,2","0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1"
Experiment A (Native 1000Hz),Lead I (LA-RA),8,1000.0,3000,758,74.73,True,"3,4,3,3,3,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,3","1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1"
Experiment A (Native 1000Hz),Lead I (LA-RA),9,1000.0,3000,777,74.1,True,"4,4,4,4,4,4,4,4,5,5,4,3,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,4,3,3,4","0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1"
Experiment A (Native 1000Hz),Lead I (LA-RA),10,1000.0,3000,802,73.27,True,"4,3,6,6,3,3,3,4,4,4,4,4,4,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,5,4,4,2","1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1"
Experiment A (Native 1000Hz),Lead I (LA-RA),11,1000.0,3000,789,73.7,True,"4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,4,4,3,4,4,4,4,6,5,3,3,4,4,3,3,3","1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1"
Experiment A (Native 1000Hz),Lead I (LA-RA),12,1000.0,3000,778,74.07,True,"4,3,3,3,3,3,3,3,4,3,4,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4","1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0"
Experiment A (Native 1000Hz),Lead I (LA-RA),13,1000.0,3000,766,74.47,True,"4,4,4,3,4,3,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,3,3,3,4,3,3,4,3,3,3","1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0"
Experiment A (Native 1000Hz),Lead I (LA-RA),14,1000.0,3000,785,73.83,True,"3,2,4,3,3,4,4,6,6,4,3,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,4,3,3,4,4,4","1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1"
Experiment A (Native 1000Hz),Lead I (LA-RA),15,1000.0,3000,797,73.43,True,"4,4,5,5,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,2,3,4,3,3,3,6,6,4,3","1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1"
Experiment A (Native 1000Hz),Lead I (LA-RA),16,1000.0,3000,794,73.53,True,"4,3,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,6,6,4,4,4,4,3,4,4","1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0"
Experiment A (Native 1000Hz),Lead I (LA-RA),17,1000.0,3000,783,73.9,True,"4,4,3,4,4,4,4,4,3,4,4,4,3,4,3,4,4,5,6,4,3,3,3,4,3,4,4,4,3,3,3,4","0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0"
Experiment A (Native 1000Hz),Lead I (LA-RA),18,1000.0,3000,777,74.1,True,"4,4,3,4,3,4,4,4,4,4,4,4,4,5,4,3,4,3,4,3,4,4,3,4,4,4,4,3,4,4,4,2","1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1"
Experiment A (Native 1000Hz),Lead I (LA-RA),19,1000.0,3000,766,74.47,True,"4,4,4,4,4,3,4,6,5,4,4,4,4,4,3,4,4,4,4,3,3,2,3,2,3,3,3,3,4,4,4,4","1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0"
Experiment A (Native 1000Hz),Lead I (LA-RA),20,1000.0,3000,793,73.57,True,"4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,5,5,4,3","1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1"
Experiment A (Native 1000Hz),Lead I (LA-RA),21,1000.0,3000,778,74.07,True,"4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,3,3,6,6,4,4,4,4,4,4,3","0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0"
